Naziv proizvoda,Šifra,Marka,Jedinica mjere,Cijena za jedinicu mjere,Maloprodajna cijena,Poseban oblik prodaje (DA/NE),Naziv posebnog oblika prodaje,Cijena 10.9.2026.,Barkod,Dostupnost
"Mini orgonit piramida za mir, sreću i zaštitu",Mini-003,ORGONITI by Halona,,,30.00,NE,,30.00,,dostupan
Orgonit piramida za snažnu zaštitu i stabilnost prostora,PIR-Sp,ORGONITI by Halona,,,50.00,NE,,50.00,,dostupan
Orgonit piramida za ravnotežu i zaštitu,PIR-MAL,ORGONITI by Halona,,,55.00,NE,,55.00,,dostupan
Mini orgonit piramida za mudrost i zaštitu,Mni-005,ORGONITI by Halona,,,30.00,NE,,30.00,,dostupan
"Mini orgonit piramida za mir, zaštitu i ravnotežu",Mini-001,ORGONITI by Halona,,,30.00,NE,,30.00,,dostupan
Orgonska mala piramida za snagu i blagostanje,Mini-002,ORGONITI by Halona,,,30.00,NE,,30.00,,dostupan
"Napravi svoj orgonit - Piramida / Mini (6,5cm)",57478429802844,ORGONITI by Halona,,,27.00,NE,,27.00,,dostupan
"Napravi svoj orgonit - Piramida / Mala (8,5cm)",59217072685404,ORGONITI by Halona,,,45.00,NE,,45.00,,dostupan
"Napravi svoj orgonit - Piramida / Srednja (9,5cm)",59217072718172,ORGONITI by Halona,,,65.00,NE,,65.00,,dostupan
"Napravi svoj orgonit - Piramida / Velika (11,5cm)",59217072750940,ORGONITI by Halona,,,95.00,NE,,95.00,,dostupan
"Napravi svoj orgonit - Piramida / Jako Velika (14,5cm)",59217072783708,ORGONITI by Halona,,,150.00,NE,,150.00,,dostupan
"Napravi svoj orgonit - Konusna piramida / Mala (10,5cm)",59217072816476,ORGONITI by Halona,,,30.00,NE,,30.00,,dostupan
"Napravi svoj orgonit - Konusna piramida / Velika (14,5cm)",59217072849244,ORGONITI by Halona,,,65.00,NE,,65.00,,dostupan
Napravi svoj orgonit - Kugla / Mala (5cm),59217072882012,ORGONITI by Halona,,,18.00,NE,,18.00,,dostupan
"Napravi svoj orgonit - Kugla / Srednja (8,5cm)",59217072914780,ORGONITI by Halona,,,30.00,NE,,30.00,,dostupan
"Napravi svoj orgonit - Kugla / Velika (10,5cm)",59217072947548,ORGONITI by Halona,,,65.00,NE,,65.00,,dostupan
"Napravi svoj orgonit - Ogrlica / Kuglica (2,7cm)",59217072980316,ORGONITI by Halona,,,17.00,NE,,17.00,,dostupan
Napravi svoj orgonit - Ogrlica / Klasična orgonit ogrlica (4cm),59217073013084,ORGONITI by Halona,,,23.00,NE,,23.00,,dostupan
"Napravi svoj orgonit - Ogrlica / Veliki oblutak (1,5×4cm)",59217073045852,ORGONITI by Halona,,,25.00,NE,,25.00,,dostupan
"Napravi svoj orgonit - Ogrlica / Nepravilni oblik (2,5×4cm)",59217073078620,ORGONITI by Halona,,,22.00,NE,,22.00,,dostupan
Mini orgonit piramida za sreću i zaštitu,Mini-004,ORGONITI by Halona,,,30.00,NE,,30.00,,dostupan
"Orgonit ogrlica kugla za sreću, snagu i ravnotežu",TO-001,ORGONITI by Halona,,,23.00,NE,,23.00,,dostupan
"Orgonit privjesak za sreću, ravnotežu i mir",LA-001,ORGONITI by Halona,,,25.00,NE,,25.00,,dostupan
"Orgonit privjesak za vitalnost, ravnotežu i snagu",AM-001,ORGONITI by Halona,,,23.00,NE,,23.00,,dostupan
Kristalni privjesak za vitalnost i ravnotežu – kvadratni štapić,AM-002,ORGONITI by Halona,,,23.00,NE,,23.00,,dostupan
Kristalni privjesak za sreću i snagu– romb,TO-002,ORGONITI by Halona,,,20.00,NE,,20.00,,dostupan
Orgonski privjesak za mir i ravnotežu,A-002,ORGONITI by Halona,,,23.00,NE,,23.00,,dostupan
Orgonski privjesak za zaštitu i mir,AT-001,ORGONITI by Halona,,,23.00,NE,,23.00,,dostupan
Orgonski privjesak za zaštitu i stabilnost,TUŠ-001,ORGONITI by Halona,,,23.00,NE,,23.00,,dostupan
Orgonski privjesak za snagu i stabilnost,JC-007,ORGONITI by Halona,,,23.00,NE,,23.00,,dostupan
Orgonit ogrlica za mir i ravnotežu,MAG-001,ORGONITI by Halona,,,23.00,NE,,23.00,,dostupan
"Orgonit privjesak kugla za mir, zaštitu i vitalnost",J-001,ORGONITI by Halona,,,23.00,NE,,23.00,,dostupan
Orgonski privjesak kugla za mir i ravnotežu,MA-002,ORGONITI by Halona,,,18.00,NE,,18.00,,dostupan
Kristalni privjesak za mir i ravnotežu – kvadratni,A-007,ORGONITI by Halona,,,23.00,NE,,23.00,,dostupan
Kristalni privjesak za mir i ravnotežu – šesterokut,A-006,ORGONITI by Halona,,,23.00,NE,,23.00,,dostupan
Kristalni privjesak za mir i ravnotežu,A-003,ORGONITI by Halona,,,20.00,NE,,20.00,,dostupan
Kristalni privjesak za ljubav i mir,RK-001,ORGONITI by Halona,,,20.00,NE,,20.00,,dostupan
Kristalni privjesak za ljubav i mir – šesterokut,RK-002,ORGONITI by Halona,,,23.00,NE,,23.00,,dostupan
Kristalni privjesak za snagu i zaštitu- oblik viska,TJ-001,ORGONITI by Halona,,,23.00,NE,,23.00,,dostupan
Orgonit piramida za energiju i motivaciju,PIR-KAR,ORGONITI by Halona,,,65.00,NE,,65.00,,dostupan
Orgonit piramida za zaštitu i ravnotežu,PIR-R,ORGONITI by Halona,,,65.00,NE,,65.00,,dostupan
Orgonit piramida za intuiciju i ravnotežu,PIR-MČ,ORGONITI by Halona,,,65.00,NE,,65.00,,dostupan
"Konusna orgonit piramida za fokus, zaštitu i mentalnu jasnoću",KON-FL-001,ORGONITI by Halona,,,28.00,NE,,28.00,,dostupan
"Konusna orgonit piramida za intuiciju, mir i zaštitu",KON-MK-001,ORGONITI by Halona,,,28.00,NE,,28.00,,dostupan
